State,Infant,4-Year-Old,School-Age
Alabama,5467,5785,5148
Alaska,10338,7655,5636
Arizona,8671,7398,6198
Arkansas,5894,5011,5909
California,12068,8407,2792
Colorado,12736,9619,5177
Connecticut,12973,10692,5421
Delaware,8928,7104,6447
District of Columbia,21948,16908,13211
Florida,8299,6571,3822
Georgia,7228,6234,5742
Hawaii,12473,8172,8904
Idaho,6969,6134,3969
Illinois,12697,9261,5877
Indiana,8073,6448,5759
Iowa,9053,7790,4325
Kansas,10518,7499,6741
Kentucky,6105,6007,5389
Louisiana,5574,4812,1070
Maine,9360,8320,4368
Maryland,13055,9097,5893
Massachusetts,16430,12176,4378
Michigan,10114,7930,4576
Minnesota,13876,10664,NR
Mississippi,4863,4312,3026
Missouri,8320,5772,3654
Montana,8475,7518,5301
Nebraska,7797,6518,4417
Nevada,9608,7687,4980
New Hampshire,11730,9484,4172
New Jersey,10949,9170,4007
New Mexico,7360,6475,3261
New York,14939,12355,11690
North Carolina,8868,7501,4298
North Dakota,8021,7109,NR
Ohio,8482,6919,4664
Oklahoma,7480,5610,3195
Oregon,13452,10200,5028
Pennsylvania,10319,8601,5520
Rhode Island,12075,10138,5971
South Carolina,6280,5308,2189
South Dakota,6071,5781,3744
Tennessee,5857,4515,2451
Texas,8495,6547,3119
Utah,7860,6024,5280
Vermont,9958,9223,3998
Virginia,10028,7855,5614
Washington,12108,9240,5412
WestVirginia,7961,6900,6635
Wisconsin,9939,8413,7893
Wyoming,9100,7800,7800
